,aruco_IDs,aruco_Corners,Timestamps
139,[[4]],"(array([[[896., 771.],
        [993., 773.],
        [987., 868.],
        [893., 866.]]], dtype=float32),)",5570
140,[[4]],"(array([[[895., 772.],
        [993., 775.],
        [986., 869.],
        [891., 867.]]], dtype=float32),)",5610
141,[[4]],"(array([[[895., 772.],
        [991., 774.],
        [986., 869.],
        [891., 868.]]], dtype=float32),)",5650
142,[[4]],"(array([[[894., 773.],
        [991., 775.],
        [986., 869.],
        [891., 868.]]], dtype=float32),)",5690
143,[[4]],"(array([[[895., 771.],
        [991., 773.],
        [986., 868.],
        [891., 867.]]], dtype=float32),)",5730
144,[[4]],"(array([[[894., 770.],
        [991., 773.],
        [986., 867.],
        [891., 865.]]], dtype=float32),)",5770
145,[[4]],"(array([[[895., 767.],
        [991., 770.],
        [986., 864.],
        [891., 863.]]], dtype=float32),)",5810
146,[[4]],"(array([[[895., 764.],
        [991., 766.],
        [986., 860.],
        [891., 858.]]], dtype=float32),)",5850
147,[[4]],"(array([[[895., 760.],
        [991., 763.],
        [986., 857.],
        [891., 855.]]], dtype=float32),)",5890
148,[[4]],"(array([[[894., 759.],
        [991., 762.],
        [985., 856.],
        [891., 854.]]], dtype=float32),)",5930
149,[[4]],"(array([[[895., 758.],
        [991., 761.],
        [985., 855.],
        [891., 853.]]], dtype=float32),)",5970
150,[[4]],"(array([[[895., 758.],
        [992., 761.],
        [986., 855.],
        [892., 853.]]], dtype=float32),)",6010
151,[[4]],"(array([[[896., 757.],
        [992., 760.],
        [986., 855.],
        [892., 853.]]], dtype=float32),)",6051
152,[[4]],"(array([[[895., 758.],
        [991., 760.],
        [986., 855.],
        [891., 852.]]], dtype=float32),)",6091
153,[[4]],"(array([[[895., 757.],
        [991., 760.],
        [986., 854.],
        [891., 852.]]], dtype=float32),)",6131
154,[[4]],"(array([[[894., 756.],
        [991., 759.],
        [985., 853.],
        [890., 850.]]], dtype=float32),)",6171
155,[[4]],"(array([[[894., 755.],
        [990., 757.],
        [984., 852.],
        [890., 850.]]], dtype=float32),)",6211
156,[[4]],"(array([[[894., 754.],
        [990., 757.],
        [984., 851.],
        [890., 850.]]], dtype=float32),)",6251
157,[[4]],"(array([[[894., 755.],
        [990., 758.],
        [984., 852.],
        [890., 851.]]], dtype=float32),)",6291
158,[[4]],"(array([[[893., 757.],
        [990., 760.],
        [985., 853.],
        [890., 852.]]], dtype=float32),)",6331
159,[[4]],"(array([[[894., 757.],
        [990., 760.],
        [984., 854.],
        [890., 853.]]], dtype=float32),)",6371
160,[[4]],"(array([[[893., 757.],
        [990., 760.],
        [984., 853.],
        [890., 852.]]], dtype=float32),)",6411
161,[[4]],"(array([[[893., 755.],
        [989., 758.],
        [984., 851.],
        [889., 850.]]], dtype=float32),)",6451
162,[[4]],"(array([[[892., 754.],
        [988., 757.],
        [983., 851.],
        [888., 848.]]], dtype=float32),)",6492
163,[[4]],"(array([[[892., 755.],
        [988., 758.],
        [983., 852.],
        [888., 850.]]], dtype=float32),)",6532
164,[[4]],"(array([[[891., 758.],
        [988., 760.],
        [982., 855.],
        [887., 853.]]], dtype=float32),)",6572
165,[[4]],"(array([[[891., 759.],
        [987., 762.],
        [982., 856.],
        [886., 854.]]], dtype=float32),)",6612
166,[[4]],"(array([[[889., 759.],
        [986., 762.],
        [980., 856.],
        [886., 855.]]], dtype=float32),)",6652
167,[[4]],"(array([[[889., 758.],
        [985., 760.],
        [980., 854.],
        [885., 852.]]], dtype=float32),)",6692
