x_T x_A x_P
-641.0 518.5 -483.5
-679.0 519.5 -490.5
-705.0 517.5 -489.5
-673.5 514.0 -490.0
-672.5 511.0 -489.75
-686.5 509.0 -489.25
-707.0 497.0 -489.25
-737.5 488.0 -490.75
-699.0 489.0 -502.5
-690.5 490.0 -514.25
-677.5 502.0 -514.75
-674.5 507.5 -514.25
-673.0 508.5 -514.0
-659.5 509.0 -514.25
-670.0 508.5 -513.5
-672.5 507.5 -513.25
-648.0 508.0 -513.25
-601.5 508.0 -508.75
-547.0 508.0 -488.2142857142857
-579.0 507.0 -466.5
-619.0 506.5 -444.78571428571433
-623.0 506.5 -444.25
-661.5 509.5 -482.5
-663.5 503.0 -505.5
-635.0 495.5 -508.5
-664.0 495.5 -511.0
-673.5 497.0 -510.5
-672.5 496.5 -507.0
-777.5 504.0 -490.0
-689.5 506.5 -479.75
-689.0 507.0 -480.5
-690.0 507.5 -480.0
-679.0 508.5 -479.5
-657.0 508.5 -479.25
-654.0 508.0 -478.5
-562.5 509.0 -478.0
-551.5 509.0 -478.25
-535.0 509.0 -477.75
-523.0 508.0 -477.0
-529.0 508.0 -476.0
-600.5 508.0 -477.25
-602.0 509.5 -477.5
-592.5 499.5 -478.0
-595.5 491.5 -478.5
-591.5 491.5 -479.5
-606.25 492.0 -480.0
-659.5 492.0 -480.25
-657.325 492.5 -478.75
-652.425 492.0 -478.5
-647.525 472.5 -479.75
-642.625 487.0 -480.25
-637.725 502.5 -480.5
-638.5 497.5 -479.5
-636.0 497.0 -479.75
-636.0 498.0 -479.25
-643.0 503.5 -478.25
-671.375 511.5 -478.25
-632.5 510.0 -479.25
-774.5 511.0 -478.75
-710.5 512.0 -478.75
-633.375 510.0 -478.8888888888889
-688.5 511.0 -478.44444444444446
-697.5 501.5 -478.0
-661.5 494.5 -477.55555555555554
-673.5 494.5 -477.1111111111111
-651.5 495.5 -490.0
-629.25 495.0 -500.75
-706.25 495.0 -505.75
-676.0 495.0 -506.25
-619.5 501.0 -505.75
-615.5 502.0 -505.25
-612.5 503.0 -505.75
-607.0416666666667 504.5 -510.25
-585.2083333333333 502.5 -508.5
-563.375 501.5 -507.75
-548.0 499.5 -508.75
-551.5 497.5 -508.75
-554.5 495.5 -509.25
-557.5 495.0 -510.25
-558.0 495.0 -511.0
-557.0 501.5 -509.75
-557.0 510.5 -507.25
-562.0 510.0 -485.5
-563.0 511.0 -485.0
-547.0 510.5 -485.0
-612.0 510.0 -485.5
-714.5 509.5 -485.5
-720.5 510.5 -484.75
-724.5 510.0 -484.5
-749.5 510.5 -484.5
-719.0 510.5 -485.0
-851.25 507.5 -485.0
-485.0 497.5 -484.75
549.0 497.0 -485.0
-451.0 495.5 -485.5
-697.625 495.5 -485.75
-696.375 496.0 -486.5
-696.2083333333333 495.5 -487.5
-696.0416666666667 495.5 -519.0
-690.1875 520.0 -519.75
-682.4375 558.0 -518.25
-674.0 559.5 -518.25
-672.5 559.0 -519.75
-668.5 558.5 -519.5
-672.0 557.5 -518.25
-672.5 556.5 -518.0
-671.0 555.5 -519.25
-678.0 491.0 -520.0
-535.0 489.0 -519.25
-571.5 491.0 -520.0
-592.5 492.0 -519.75
-568.0 492.5 -521.25
-564.5 486.5 -520.5
-567.0 480.5 -522.0
-560.5 481.0 -504.75
-545.5 499.5 -490.07142857142856
-540.0 503.5 -493.5
-538.0 502.5 -496.92857142857144
-535.5 502.0 -499.0
-567.5 501.5 -497.75
-647.0 508.0 -509.5
-586.0 511.5 -512.5
-588.5 509.0 -522.5
-588.5 503.0 -520.0
-589.5 480.0 -521.25
-587.0 469.0 -521.5
-584.0 459.5 -523.25
-601.5 448.0 -524.25
-587.5 440.5 -525.25
-587.5 442.0 -524.0
-592.0 444.0 -524.25
-568.0 457.0 -531.5
-567.0 467.5 -532.25
-568.5 477.5 -530.5
-577.0 484.0 -524.5
-689.625 486.0 -525.25
-605.5 485.0 -523.0
-595.5 485.5 -521.75
-589.5 487.0 -520.5
-683.875 493.0 -520.0
-872.5 507.0 -520.0
-606.25 504.5 -520.5
-541.5 502.0 -520.0
-543.5 499.5 -519.0
-541.0 498.0 -512.75
-541.0 497.0 -507.0
-557.0 497.5 -507.75
-570.0 500.0 -508.5
-569.0 502.0 -507.0
-570.5 503.0 -507.5
-572.5 504.5 -506.75
-617.0 496.0 -505.5
-632.0 488.0 -507.5
-628.0 487.0 -511.0
-623.0 487.5 -510.75
-622.5 488.0 -511.75
-563.5 488.5 -511.0
-529.5 488.5 -512.0
-444.27083333333337 489.5 -512.75
-381.96527777777777 491.5 -513.75
-319.6597222222222 493.0 -516.25
-257.35416666666663 495.5 -515.5
-195.04861111111111 498.0 -515.5
-132.74305555555554 499.5 -516.0
-70.43749999999997 512.0 -516.0
-8.131944444444429 513.5 -515.5
54.17361111111114 514.0 -515.0
116.47916666666669 515.0 -511.5
178.78472222222223 513.5 -508.0
241.09027777777783 496.0 -506.5
303.39583333333337 494.25 -510.5
365.7013888888889 493.75 -508.5
428.00694444444446 493.0 -509.5
490.3125 492.5 -507.5
552.6180555555557 503.0 -507.5
614.9236111111111 507.0 -506.5
655.0 508.0 -505.5
530.75 509.0 -504.5
522.75 509.5 -504.0
515.25 510.25 -503.5
408.25 510.25 -504.5
466.0 510.0 -505.5
525.75 509.75 -509.5
414.75 498.75 -510.5
291.75 477.625 -512.0
319.08333333333337 478.125 -513.0
227.41666666666666 476.5 -513.5
232.75 488.5 -512.75
270.41666666666663 498.5 -511.75
308.0833333333333 499.0 -511.75
94.5 497.0 -511.75
235.5 497.0 -510.5
185.0 497.0 -508.5
-22.449999999999996 498.0 -507.0
-153.04999999999998 500.5 -505.5
-283.65 502.0 -504.25
-414.25 503.5 -507.75
-544.8499999999999 505.5 -504.25
-572.625 506.5 -501.5
-573.6944444444445 506.5 -502.5
-576.4722222222222 475.0 -505.0
-579.25 493.0 -505.0
-582.0277777777778 494.0 -505.0
-584.8055555555555 493.5 -506.0
-535.7209302325582 487.0 -506.5
-502.6046511627907 485.0 -507.5
-469.48837209302326 492.0 -509.25
-436.3720930232558 498.5 -509.25
-403.25581395348837 502.5 -509.25
-370.1395348837209 501.5 -508.75
-337.0232558139535 500.5 -509.0
-303.906976744186 504.0 -508.5
-270.7906976744186 513.0 -508.0
-237.67441860465115 513.0 -507.5
-204.5581395348837 512.5 -506.5
-171.44186046511624 512.0 -506.25
-138.32558139534882 512.0 -506.25
-105.20930232558138 513.0 -505.75
-72.09302325581393 514.5 -505.0
-38.97674418604646 514.5 -504.5
-5.860465116279045 514.5 -505.25
27.25581395348837 514.0 -507.25
60.37209302325584 513.5 -508.5
93.48837209302332 513.0 -508.5
126.60465116279073 514.0 -508.75
