x_T x_P y_T y_P d_T d_P FaceP_T FaceT_P
-602.5 507.0 255.0 345.75 654.2411866047489 613.6710072672389 0.0 1.0
-637.0 506.5 259.0 345.5 687.6760032031982 613.1171008763561 0.0 1.0
-602.0 505.25 251.0 345.5 652.2712843948648 612.0849546622424 0.0 1.0
-604.5 504.5 235.5 344.25 648.7562580362338 610.7604728076797 0.0 1.0
-603.0 427.0 238.0 356.75 648.269234192091 557.8048760035874 0.0 1.0
-604.0 208.0 238.0 349.5 649.1998309770123 409.2730631848664 0.0 0.0
-606.0 -161.625 237.0 105.04166666666667 650.6958432297755 192.8253614824393 0.0 0.0
-608.0 -306.125 237.0 187.20833333333334 652.5589758972452 358.94253795371156 0.0 0.0
-601.5 -450.625 240.5 269.375 647.8307903124365 525.0597144249839 0.0 0.0
-616.5 -584.0 236.5 367.0 660.3067568476911 689.9573356053997 0.0 0.0
-617.0 -636.0 237.5 364.25 661.1322242652393 733.4908006423287 0.0 0.0
-583.0 -677.25 239.0 357.5 630.0887738845072 765.8331208344804 0.0 0.0
-580.0 -667.25 235.5 327.0 625.9876743559838 743.6957264469881 0.0 0.0
-785.875 -644.25 218.0 326.75 810.9566018620296 722.5012065561721 0.0 0.0
-649.55 -650.25 191.125 327.75 812.3949106429968 728.2386857327945 0.0 0.0
-376.94999999999993 -659.25 209.95833333333331 327.0 732.7219340026685 736.0173549817168 0.0 0.0
-380.5 -646.75 228.79166666666666 328.75 653.0489573623402 725.5092351017055 0.0 0.0
-750.5 -647.0 375.5 328.5 847.031186770781 725.6578542510415 0.0 0.0
-596.0 -648.5 227.5 328.0 637.9448131934503 726.7481477020538 0.0 0.0
-590.5 -650.0 226.0 324.75 632.2716383455961 726.6161360421797 0.0 0.0
-580.0 -647.5 304.5 323.5 655.0735855707096 723.8161023353105 0.0 0.0
-577.5 -635.5 299.5 326.5 650.543840218734 714.6645169814748 0.0 0.0
-576.0 -598.0 300.0 355.0 649.4428728933575 695.4423776218408 0.0 0.0
-575.0 -594.75 298.0 358.5 647.6333841478975 694.4884551644727 0.0 0.0
-571.0 -592.75 234.5 360.5 617.2773169977188 693.7693588548577 0.0 0.0
-569.5 -588.5 249.5 363.0 621.7588368292882 691.4497244572985 0.0 0.0
-573.0 -634.5 258.0 374.75 628.4054719545495 737.0036214515592 0.0 0.0
-572.0 -677.5 259.5 388.5 628.1116540870739 780.9882789784957 0.0 0.0
-572.0 -674.25 259.5 389.5 628.1116880554198 778.667777835049 0.0 0.0
-688.5 -670.25 354.5 388.5 774.4051052831628 774.7049738904334 0.0 0.0
-689.0 -673.0 355.0 363.0 775.0781880267355 764.6575040858474 0.0 0.0
