d_T d_A d_P
456.38751117077373 555.5233740852844 616.0215312914579
468.6186968098777 661.3330087307565 616.5132464970918
532.792543372135 661.2687798093634 617.4970308892104
488.1651972127444 650.7477696028743 617.0881206599491
481.3175062577829 634.0143293227147 616.5132464970918
485.03562049385835 620.0440991258776 615.4074365520466
473.2356529369655 601.5201175724023 613.9329533971107
553.5503381648809 601.5534866363305 608.2480385609355
633.8650233927963 610.6147684932886 606.8537093048824
686.2386858888863 621.4072110561758 605.064727790076
654.7892801894998 622.4220945624685 604.3649939695433
696.285119057027 626.1115713858663 603.6659468530981
569.8366675663142 640.7677400240407 601.791695601083
628.2092836799611 638.1367126791504 600.8245419020831
675.6916369099151 632.2025752216852 599.6578831571763
662.4961513682126 628.0644871348801 600.0604764362195
649.3006658265102 615.1151947545411 599.7868040166231
636.1051802848077 604.0416121432636 599.3751294407568
622.9096947431052 600.3970532130074 600.2211472210629
609.7142092014027 610.4667425888658 600.9859741283384
596.5187236597003 622.0352041707592 601.8981857303978
583.3232381179978 637.4825729682848 602.317625372035
570.1277525762953 648.1276097248185 602.6151157205226
556.9322670345928 647.333095054822 601.7745205585206
543.7367814928903 645.1113467680307 601.2325450898795
530.5412959511877 643.2175019178428 583.9637025270856
517.3458104094854 642.2677528464251 573.7841089405591
504.15032486778284 640.3910154793393 571.7923154589832
490.95483932608033 640.1189817052448 570.46884451451
477.7593537843779 624.5023688194071 571.3853778318098
464.5638682426754 618.8418618677957 571.1520774460424
451.3683827009729 619.4649802236722 570.2510826677153
438.1728971592704 618.1364017682665 570.46884451451
424.97741161756795 616.4190990812854 571.3547496958436
411.78192607586544 615.4106352672173 570.2247828527007
398.586440534163 625.4823951310611 570.6639137843226
385.3909549924605 626.5982526042195 574.009844763506
381.42860990055743 627.9328227099384 575.3439846715689
421.15911525608357 630.6289479743498 575.1184229928425
448.7345448443305 635.2250975101045 574.4460375004775
435.5464596249684 651.9987516765094 572.9139532132206
429.04161142798694 659.4602249615456 598.8909217741182
486.4342570280435 663.3268326193368 603.4555270970674
529.6455954319285 662.4523210650432 603.3059534305308
572.8569338358134 661.2321011282305 602.8857686162446
635.6609646184249 658.127077394632 603.0958305891093
720.0838593600781 655.6769402686051 603.5032817123063
626.4932737135854 652.0619059137571 604.8403264927854
685.5834437774488 648.9812423168204 613.1081513393466
705.6198552801898 646.9715990675325 613.9437943276613
690.1759775657999 646.9715990675325 614.0183892570662
688.1503360207253 650.6982787744255 614.2249180878288
684.7528751308753 653.4664108448578 615.0516778842564
687.3035258706539 656.7019841651511 615.5242335886273
673.5824491157293 661.5356595195123 615.8714195015327
679.1719685032547 663.7537172321482 616.6326557368584
599.9814351389296 661.6925245459513 616.5657753607832
493.1032698502014 659.8015954016864 617.8881189319961
386.22510456147324 657.5987743446806 602.2041842343699
518.5142683112302 652.8344742374768 572.019394882489
501.9839686116376 648.9082027866325 551.306250973601
517.0280351559779 613.2272464087479 530.5931070647131
578.4546519844091 549.4503754136658 570.6888282322411
566.3458478924391 497.7170468111059 594.367011702717
564.7280079256216 571.8998482490526 600.3074321176709
534.1582084077438 629.975124921393 598.4089349792182
532.6113281192197 634.9377956741837 601.3828449929359
516.7586172127417 633.9829943316162 605.0007373172696
472.52756752888615 630.1807238637962 606.3846242896986
493.6706637411688 622.2071975457068 613.4601567142332
490.13779408496725 616.6641150819056 622.0713233929409
499.7397803710817 614.4366058636465 623.0163358958137
478.4730922423956 615.8394767388786 620.2341845314409
476.5827716898958 617.6701436616465 621.2301709396265
536.114922924449 619.6856442066082 622.0052916644954
460.0746721772069 620.7821679139954 627.9842556730955
398.1892850188982 623.9837675452507 634.5100399187111
408.50194059687254 623.3708831813469 635.1073718701364
397.98054138406246 624.6487012713626 635.862899752728
379.7662842626475 623.5243843489 634.9564927258236
369.84637675831516 623.3155300487867 635.0112346994656
356.9709265490029 623.905969646162 634.860260816878
408.9454235089778 624.6062759851201 634.1593863636692
608.958798228376 644.559270791316 632.9577898406313
649.5693892039835 650.235608458654 633.0608587377224
612.2595236617835 650.386423597541 628.0232234012166
605.1740027365878 652.1037110766968 605.872305028048
612.2244526950622 652.4158949627147 604.4189253875238
624.3498887901956 652.261067364901 603.3815774332913
636.4753248853291 629.3843456942379 603.0392921021853
648.6007609804625 623.0339818271527 602.5522798894715
676.8368226002106 619.4143672611356 602.3450689294452
682.4051231255119 615.20098341924 603.1745503299876
665.8174247509951 630.2116787658879 607.100592329221
686.635973137948 641.440365672883 607.7957133748763
688.7668025106746 640.0361375090084 609.8169149437008
677.9790946090534 643.8324704455345 611.3634485095108
675.7460385050415 647.8908087015898 613.3871094252552
683.3001946962521 657.4126547986561 613.5468199922113
