x_A x_P y_A y_P d_A d_P FaceP_A FaceA_P
549.875 514.5 331.25 334.0 641.9417187705978 613.4055965506411 0.0 0.0
524.375 515.5 316.25 335.0 612.3587560728893 614.7889278202128 0.0 0.0
508.5 516.75 375.5 336.5 632.249895511582 616.6545476284562 0.0 0.0
492.0 514.5 403.5 333.75 636.3044939675184 613.2693731814215 0.0 0.0
542.5 507.0 417.0 321.75 684.2481905048652 600.4766173280201 0.0 0.0
537.0 509.25 417.5 319.75 680.2028694650226 601.3201567835913 0.0 0.0
537.5 511.75 416.0 317.75 679.6794965604031 602.3730102829571 0.0 0.0
533.0 511.5 407.0 316.75 670.6367284927805 601.6335701019952 0.0 0.0
528.5 511.0 400.0 315.5 662.8065378393137 600.5509395560027 0.0 0.0
528.5 511.0 396.5 314.75 660.700196646887 600.1571525940323 0.0 0.0
527.5 511.25 394.0 313.5 658.401405279207 599.7156239244391 0.0 0.0
528.0 511.5 390.0 313.5 656.4176732471664 599.9287457690288 0.0 0.0
549.0 511.25 389.0 313.75 672.9134218443555 599.8464330348341 0.0 0.0
592.5 511.5 390.5 313.0 709.6241172180007 599.6676730569216 0.0 0.0
581.0 512.25 379.0 313.25 693.6873651775197 600.4378667815283 0.0 0.0
573.0 512.25 371.0 313.5 682.6199893872608 600.5683387680493 0.0 0.0
560.5 513.75 360.0 313.5 666.1533662224151 601.8489374083099 0.0 0.0
554.0 514.5 354.0 313.75 657.4435441292352 602.6191594909392 0.0 0.0
507.5 515.25 356.0 314.5 619.9169141031332 603.6497723802909 0.0 0.0
488.0 507.75 349.0 318.5 599.9565410079811 599.3782465446313 0.0 0.0
476.0 510.0 347.0 322.5 589.0555050845815 603.4122916491457 0.0 0.0
470.0 512.75 349.0 325.0 585.4091562215451 607.0742255883022 0.0 0.0
465.0 512.0 352.0 327.75 583.2077475564063 607.9181371698097 0.0 0.0
540.0 512.0 414.5 329.0 680.7470155799459 608.5927841670864 0.0 0.0
541.5 514.0 417.0 332.25 683.455647621071 612.034370007018 0.0 0.0
541.0 514.25 420.5 332.25 685.2016813707248 612.244338906436 0.0 0.0
541.5 514.25 423.0 332.75 687.1326291190079 612.5159136807769 0.0 0.0
542.5 514.0 423.5 332.0 688.2285230938921 611.8986844241455 0.0 0.0
542.5 514.0 424.0 330.0 688.5363098631764 610.8158478625124 0.0 0.0
601.5 514.0 406.5 330.5 725.9783835931786 611.0862679466608 0.0 0.0
